B00, 0
B01, 0
B02, 1
B10, Blotteritem, {'type': 'Trade', 'time': 198.42500000002798, 'price': 104.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 257.97500000003924, 'price': 108.0, 'party1': 'B10', 'party2': 'S06', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 261.7500000000358, 'price': 109.0, 'party1': 'B10', 'party2': 'S09', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 285.8500000000139, 'price': 106.0, 'party1': 'B10', 'party2': 'S03', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 318.02499999998463, 'price': 104.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 362.4499999999442, 'price': 110.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 379.89999999992835, 'price': 105.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 398.47499999991146, 'price': 105.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 432.5999999998804, 'price': 99.0, 'party1': 'S08', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 453.79999999986114, 'price': 100.0, 'party1': 'S09', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 494.4499999998242, 'price': 109.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 517.0999999998036, 'price': 110.0, 'party1': 'B10', 'party2': 'S04', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 553.6249999997704, 'price': 86.0, 'party1': 'S06', 'party2': 'B10', 'qty': 1}
B11, 20
B11, Blotteritem, {'type': 'Trade', 'time': 30.849999999999316, 'price': 113.0, 'party1': 'B11', 'party2': 'S09', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 52.49999999999809, 'price': 112.0, 'party1': 'B11', 'party2': 'S07', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 72.37499999999933, 'price': 113.0, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
