B00, 0
B11, Blotteritem, {'type': 'Trade', 'time': 287.2750000000126, 'price': 107.0, 'party1': 'B11', 'party2': 'S07', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 313.5499999999887, 'price': 109.0, 'party1': 'B11', 'party2': 'S09', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 356.6249999999495, 'price': 103.0, 'party1': 'S10', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 393.6999999999158, 'price': 107.0, 'party1': 'B11', 'party2': 'S07', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 399.2999999999107, 'price': 109.0, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 442.974999999871, 'price': 105.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 466.5749999998495, 'price': 107.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 500.5999999998186, 'price': 106.0, 'party1': 'B11', 'party2': 'S09', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 536.1749999997862, 'price': 108.0, 'party1': 'B11', 'party2': 'S03', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 550.3499999997733, 'price': 87.0, 'party1': 'S07', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 589.1249999997381, 'price': 106.0, 'party1': 'B11', 'party2': 'S04', 'qty': 1}
B12, 19
B12, Blotteritem, {'type': 'Trade', 'time': 23.124999999999755, 'price': 108.0, 'party1': 'S11', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 52.64999999999808, 'price': 93.0, 'party1': 'S08', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 87.92500000000287, 'price': 113.0, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 114.0000000000088, 'price': 110.0, 'party1': 'B12', 'party2': 'S10', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 128.35000000001205, 'price': 111.0, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 176.17500000002292, 'price': 97.0, 'party1': 'S09', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 213.0750000000313, 'price': 111.0, 'party1': 'S12', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 234.47500000003618, 'price': 94.0, 'party1': 'S08', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 264.7250000000331, 'price': 114.0, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 299.0250000000019, 'price': 116.0, 'party1': 'S13', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 313.47499999998877, 'price': 111.0, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 358.8249999999475, 'price': 114.0, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 375.0999999999327, 'price': 112.0, 'party1': 'B12', 'party2': 'S03', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 419.899999999892, 'price': 114.0, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 441.47499999987235, 'price': 115.0, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 461.7749999998539, 'price': 110.0, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 499.3499999998197, 'price': 112.0, 'party1': 'B12', 'party2': 'S11', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 523.2999999997979, 'price': 101.0, 'party1': 'S10', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 549.7249999997739, 'price': 82.0, 'party1': 'S06', 'party2': 'B12', 'qty': 1}
B13, 20
B13, Blotteritem, {'type': 'Trade', 'time': 21.749999999999833, 'price': 103.0, 'party1': 'S10', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 59.399999999997696, 'price': 100.0, 'party1': 'S10', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 63.24999999999748, 'price': 105.0, 'party1': 'S11', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 108.3000000000075, 'price': 120.0, 'party1': 'B13', 'party2': 'S08', 'qty': 1}
